servers,workload,cpu,energy,temperature,efficiency
10,50.09,49.23,675.84,31.75,86.68
10,50.27,49.32,736.64,31.68,86.4
10,50.5,49.98,786.29,31.65,86.26
10,50.93,50.55,826.85,31.49,86.18
10,51.48,50.92,859.86,31.54,86.11
10,52.03,50.33,885.39,31.57,85.95
10,52.63,51.08,906.93,31.52,86.0
10,53.24,51.83,925.29,31.48,86.07
10,53.92,52.35,940.76,31.27,86.13
10,54.56,52.64,953.57,31.45,86.16
10,55.27,52.73,963.95,31.43,86.18
10,56.14,52.94,972.57,31.47,86.24
10,56.95,53.76,980.69,31.4,86.38
10,57.82,54.32,988.04,31.49,86.49
10,58.56,55.44,995.58,31.62,86.67
10,59.38,56.06,1002.56,31.65,86.78
10,60.02,56.82,1009.27,31.63,86.91
10,60.72,58.24,1016.77,31.59,87.12
10,61.7,58.73,1023.51,31.58,87.23
10,62.53,59.32,1029.79,31.57,87.34
10,63.18,59.98,1035.8,31.64,87.46
10,63.91,61.2,1042.45,31.76,87.65
10,64.74,61.88,1048.78,31.73,87.77
10,65.42,62.35,1054.54,31.78,87.86
10,65.99,63.17,1060.39,31.95,87.98
10,66.47,64.06,1066.4,31.81,88.11
10,66.93,64.2,1071.41,31.81,88.14
10,67.41,65.12,1076.81,31.94,88.28
10,67.86,65.83,1082.19,31.79,88.38
10,68.22,66.13,1086.94,31.91,88.43
10,68.61,66.52,1091.33,31.95,88.49
10,69.06,66.84,1095.32,31.89,88.55
10,69.54,67.99,1100.24,31.97,88.72
10,69.76,67.84,1103.96,31.99,88.7
10,70.01,68.19,1107.45,32.08,88.75
10,70.31,69.07,1111.56,32.2,88.87
10,70.41,69.32,1115.22,32.38,88.9
10,70.51,69.86,1118.97,32.5,88.97
10,70.56,69.24,1121.04,32.56,88.88
10,70.61,69.39,1122.92,32.5,88.9
10,70.47,68.72,1123.42,32.48,88.79
10,70.31,68.77,1123.89,32.76,88.79
10,70.27,70.04,1126.17,32.77,88.94
10,69.98,70.94,1129.35,32.73,88.76
10,69.91,70.32,1130.96,32.61,88.86
10,69.56,70.15,1131.99,32.45,88.86
10,69.27,70.22,1132.93,32.39,88.83
10,68.88,70.25,1133.72,32.55,88.8
10,68.58,69.66,1133.47,32.62,88.78
10,68.15,69.13,1132.47,32.77,88.68
10,68.18,69.14,1131.68,32.69,88.69
10,67.79,68.74,1130.46,32.74,88.61
10,67.45,68.58,1129.24,32.73,88.57
10,66.89,68.13,1127.58,32.84,88.48
9,66.32,69.22,1105.32,32.9,88.22
9,65.89,69.7,1088.15,32.9,88.33
9,65.41,70.03,1074.87,33.01,88.39
9,65.14,70.42,1064.76,33.04,88.34
9,64.77,70.93,1057.36,33.18,88.26
9,64.22,72.03,1052.93,33.11,88.05
9,63.54,71.16,1048.22,33.04,88.17
9,62.95,70.71,1043.83,33.16,88.23
9,62.39,70.67,1040.27,33.18,88.21
9,61.64,69.71,1036.12,33.25,88.25
9,61.13,68.92,1031.75,33.34,88.12
9,60.59,68.45,1027.61,33.24,88.03
9,59.9,68.48,1024.33,32.99,88.0
9,59.21,68.32,1021.5,33.19,87.93
9,58.61,68.01,1018.81,33.18,87.85
9,57.83,67.0,1015.3,33.2,87.66
9,57.35,66.66,1012.03,33.24,87.59
9,56.83,64.91,1007.06,33.26,87.33
9,56.46,64.84,1002.98,33.28,87.3
9,56.03,64.5,999.26,32.97,87.24
9,55.83,63.98,995.58,33.02,87.16
9,55.48,62.99,991.3,32.92,87.01
9,54.97,62.28,986.91,33.01,86.89
9,54.7,62.01,983.04,33.2,86.85
9,54.64,61.85,979.74,33.2,86.84
9,54.46,61.85,977.09,33.15,86.84
9,54.16,61.74,974.83,33.26,86.8
9,54.06,61.38,972.53,33.19,86.76
9,53.96,61.47,970.81,33.23,86.77
9,53.97,61.19,969.05,33.31,86.74
9,53.84,60.81,967.13,33.27,86.68
9,53.88,61.16,966.08,33.34,86.74
9,54.09,61.19,965.26,33.35,86.77
9,54.15,61.41,964.92,33.38,86.81
9,54.33,61.49,964.75,33.37,86.84
9,54.38,61.13,964.12,33.52,86.79
9,54.56,60.86,963.26,33.44,86.78
9,54.82,60.8,962.48,33.45,86.79
9,55.05,61.09,962.25,33.27,86.86
9,55.36,61.32,962.39,33.27,86.92
9,55.7,61.94,963.33,33.21,87.03
9,56.23,62.11,964.31,33.17,87.09
9,56.67,62.34,965.41,33.22,87.15
9,57.06,62.58,966.61,33.27,87.21
9,57.51,63.08,968.24,33.3,87.31
9,58.15,63.15,969.64,33.22,87.37
9,58.8,62.5,969.88,33.23,87.33
9,59.28,63.21,971.04,33.21,87.46
9,59.96,63.63,972.53,33.21,87.56
9,60.72,64.83,975.34,33.1,87.77
9,61.4,65.73,978.81,32.95,87.93
9,62.17,65.79,981.67,33.12,87.98
9,63.15,65.87,984.05,33.25,88.05
9,63.74,66.31,986.56,33.31,88.14
9,64.5,68.06,990.92,33.28,88.42
9,65.25,69.34,996.14,33.38,88.62
9,66.08,70.34,1001.68,33.36,88.69
9,67.0,71.52,1007.69,33.42,88.51
9,67.97,72.29,1013.54,33.29,88.41
9,68.72,72.62,1018.66,33.45,88.38
9,69.63,73.03,1023.32,33.48,88.34
9,70.44,74.54,1029.08,33.66,88.1
9,71.18,76.29,1036.06,33.63,87.81
9,72.02,76.66,1042.13,33.64,87.77
9,72.67,78.16,1049.03,33.74,87.52
9,73.34,78.84,1055.46,33.62,87.41
9,73.86,79.86,1061.98,33.59,87.24
9,74.47,80.56,1068.14,33.46,87.12
9,75.24,81.29,1074.06,33.56,87.01
9,75.87,81.33,1078.84,33.47,87.02
9,76.68,82.19,1083.84,33.26,86.9
9,77.32,82.71,1088.53,33.23,86.82
9,77.88,83.56,1093.43,33.27,86.68
9,78.42,84.73,1098.93,33.3,86.48
9,78.87,84.88,1103.53,33.45,86.47
9,79.44,85.16,1107.59,33.55,86.43
9,80.01,85.91,1111.85,33.59,86.31
9,80.38,87.42,1117.3,33.63,86.04
9,80.7,87.87,1122.27,33.43,85.96
9,81.09,88.33,1126.86,33.33,85.89
9,81.35,87.79,1129.81,33.17,85.98
9,81.61,88.04,1132.5,33.04,85.94
9,81.83,89.04,1136.01,32.92,85.77
9,81.87,89.02,1138.78,32.82,85.76
9,81.97,89.17,1141.2,32.75,85.73
9,82.08,89.1,1143.05,32.92,85.74
9,81.89,88.93,1144.3,32.95,85.76
9,81.79,89.67,1146.3,33.05,85.62
9,81.8,89.3,1147.39,32.98,85.68
9,81.81,89.63,1148.71,33.01,85.62
9,81.68,89.71,1149.88,33.02,85.6
9,81.45,89.44,1150.45,33.05,85.63
9,81.16,89.27,1150.67,33.04,85.65
9,80.8,89.81,1151.58,33.04,85.53
9,80.43,90.26,1152.92,33.0,85.43
9,80.01,89.68,1153.2,33.0,85.51
8,79.68,92.18,1130.78,32.97,84.64
8,79.22,93.78,1114.76,32.92,84.4
8,78.92,94.37,1102.65,33.0,84.33
8,78.34,95.56,1094.39,33.17,84.12
8,77.73,96.39,1088.79,33.31,83.96
8,77.31,96.76,1084.74,33.45,83.89
7,76.89,99.45,1057.61,33.35,82.89
7,76.22,100.0,1036.49,33.5,82.85
7,75.53,100.0,1019.59,33.46,82.89
7,74.83,100.0,1006.07,33.42,82.91
7,74.32,100.0,995.26,33.46,82.93
7,73.71,100.0,986.61,33.52,82.93
7,73.2,100.0,979.68,33.54,82.93
6,72.58,100.0,946.95,33.58,82.28
6,71.94,100.0,920.76,33.43,82.38
6,71.45,100.0,899.81,33.37,82.46
6,70.73,100.0,883.05,33.23,82.51
6,69.96,100.0,869.64,33.15,82.53
6,69.41,100.0,858.91,33.09,82.56
6,68.9,100.0,850.33,33.15,82.57
6,68.19,100.0,843.46,33.05,82.56
6,67.76,100.0,837.97,33.22,82.56
6,67.2,100.0,833.58,33.24,82.54
6,66.8,100.0,830.06,33.09,82.54
6,66.21,100.0,827.25,33.3,82.51
6,65.83,100.0,825.0,33.19,82.49
6,65.4,100.0,823.2,33.13,82.47
5,64.95,100.0,794.56,33.18,81.6
4,64.5,100.0,744.45,33.18,80.51
4,64.11,100.0,704.36,33.17,80.86
4,63.71,100.0,672.29,33.22,81.13
4,63.38,100.0,646.63,33.25,81.35
4,63.01,100.0,626.1,33.42,81.51
4,62.8,100.0,609.68,33.36,81.66
4,62.48,100.0,596.55,33.16,81.76
4,62.16,100.0,586.04,33.4,81.83
4,62.03,100.0,577.63,33.44,81.9
4,61.81,100.0,570.9,33.59,81.95
4,61.82,100.0,565.52,33.56,82.01
4,61.73,100.0,561.22,33.77,82.04
4,61.66,100.0,557.77,33.76,82.07
4,61.67,100.0,555.02,33.68,82.1
4,61.48,100.0,552.82,33.61,82.1
4,61.4,100.0,551.05,33.67,82.11
4,61.23,100.0,549.64,33.83,82.11
4,61.17,100.0,548.51,33.88,82.12
4,61.36,100.0,547.61,33.96,82.14
4,61.68,100.0,546.89,34.03,82.18
4,61.69,100.0,546.31,33.99,82.19
4,61.75,100.0,545.85,33.95,82.2
4,61.83,100.0,545.48,33.99,82.21
4,62.08,100.0,545.18,34.01,82.23
4,62.29,100.0,544.95,33.98,82.25
4,62.67,100.0,544.76,34.01,82.29
4,63.05,100.0,544.61,33.91,82.32
4,63.3,100.0,544.48,33.87,82.34
4,63.74,100.0,544.39,33.87,82.38
4,64.22,100.0,544.31,33.87,82.42
4,64.83,100.0,544.25,33.96,82.47
4,65.34,100.0,544.2,33.91,82.51
4,65.72,100.0,544.16,33.99,82.54
4,66.35,100.0,544.13,33.93,82.59
4,66.8,100.0,544.1,33.9,82.63
4,67.4,100.0,544.08,33.91,82.67
4,67.92,100.0,544.07,33.92,82.71
4,68.57,100.0,544.05,33.85,82.76
4,69.02,100.0,544.04,33.91,82.79
4,69.44,100.0,544.03,34.0,82.82
4,69.95,100.0,544.03,33.86,82.86
4,70.4,100.0,544.02,33.98,82.89
4,71.04,100.0,544.02,33.94,82.93
4,71.55,100.0,544.01,33.92,82.96
4,72.14,100.0,544.01,33.89,83.0
4,72.62,100.0,544.01,33.69,83.03
4,73.08,100.0,544.01,33.7,83.06
4,73.5,100.0,544.01,33.57,83.09
4,73.86,100.0,544.0,33.52,83.11
4,74.28,100.0,544.0,33.5,83.14
4,74.45,100.0,544.0,33.36,83.15
4,74.72,100.0,544.0,33.43,83.16
4,75.08,100.0,544.0,33.57,83.19
4,75.25,100.0,544.0,33.51,83.2
4,75.6,100.0,544.0,33.6,83.22
4,75.91,100.0,544.0,33.72,83.24
4,76.14,100.0,544.0,33.65,83.25
4,76.21,100.0,544.0,33.69,83.25
4,76.42,100.0,544.0,33.6,83.27
4,76.58,100.0,544.0,33.51,83.27
4,76.55,100.0,544.0,33.64,83.27
4,76.3,100.0,544.0,33.69,83.26
4,76.0,100.0,544.0,33.7,83.24
4,75.8,100.0,544.0,33.78,83.23
4,75.64,100.0,544.0,33.81,83.22
4,75.31,100.0,544.0,33.84,83.2
4,74.82,100.0,544.0,33.82,83.17
4,74.24,100.0,544.0,33.97,83.14
4,74.02,100.0,544.0,34.01,83.12
4,73.69,100.0,544.0,33.95,83.1
4,73.25,100.0,544.0,33.97,83.07
4,72.76,100.0,544.0,34.08,83.04
4,72.1,100.0,544.0,34.02,83.0
4,71.44,100.0,544.0,34.14,82.96
4,70.79,100.0,544.0,34.08,82.91
4,70.1,100.0,544.0,34.18,82.87
4,69.32,100.0,544.0,33.93,82.81
4,68.43,100.0,544.0,34.09,82.75
4,67.76,100.0,544.0,34.0,82.7
3,67.11,100.0,516.8,33.88,81.31
3,66.11,100.0,495.04,33.92,81.49
3,65.27,100.0,477.63,33.9,81.63
3,64.42,100.0,463.71,33.89,81.73
